ONTOTERM,right atrium auricular region,esophagus squamous epithelium,skin of leg,uterus,frontal cortex,esophagus muscularis mucosa,subcutaneous adipose tissue,right lobe of liver,transverse colon,upper lobe of left lung,spleen,amygdala,sigmoid colon,skin of abdomen,cortex of kidney,substantia nigra,anterior cingulate cortex,left ventricle myocardium,caudate nucleus,gastrocnemius medialis,tibial artery,dorsolateral prefrontal cortex,fibroblast,prostate gland,nucleus accumbens,gastroesophageal sphincter,venous blood,breast epithelium,C1 segment of cervical spinal cord,putamen,K562,omental fat pad,tibial nerve,adrenal gland,thyroid gland,Peyer's patch,stomach,ascending aorta,lymphoblast,pituitary gland,left ovary,vagina,testis,cerebellum,anterior lingual gland,coronary artery,Ammon's horn,body of pancreas,hypothalamus,urinary bladder,endocervix,fallopian tube,ectocervix
ENSG00000105204,0.6669643057,0.9550057982,1.0953690318,1.1826843252,1.2214690589,0.9970418172,0.9531110441,0.4412806903,0.9351091122,0.962420587,1.1295551536,0.9115577835,1.0319626473,1.0961876805,0.9721975563,0.8021435376,1.0514052875,0.7863964532,1.004720477,1.6751150895,0.9252028341,1.1107637235,0.9061936541,1.1372422543,1.0518026053,1.0123869497,0.5529990692,1.0258907182,0.7459829308,0.906987759,0.6230340392,0.8758426445,1.0887375673,1.1721790432,1.2873630099,0.952709222,0.8793490464,0.8903222033,0.7304554741,1.4932677349,1.0634661092,1.0358467216,1.979420733,1.2513116886,1.0630119008,0.949302686,0.9457161954,0.5824397675,0.9683474164,1.1619490129,1.1932603447,1.2893054547,1.0048130354
ENSG00000096063,0.6655612318,1.3142488437,1.4106187336,1.1382596323,0.9920692913,0.9997299051,0.9485250696,0.8299347693,1.1957759447,1.1969891373,1.2411539683,0.5599897211,0.978777959,1.3738192492,0.8240963727,0.6433011024,0.7808406192,0.4950037411,0.6957565445,0.946394596,0.9433534461,0.9724204753,1.2941428892,1.0378839952,0.6523571346,0.9755206597,1.3715602791,0.9832776509,0.6739815714,0.603448537,1.8955402997,0.9265591711,1.0389048664,0.7516356313,0.9967857899,1.1483371655,0.8811420979,0.9710838519,1.5288210715,1.0327807431,0.958605388,1.2458509896,1.533533283,1.3104048584,1.1889841909,0.9158250825,0.6433670403,0.9599591134,0.6758009583,1.2403840596,1.0991583631,1.0617267797,1.1888125972
ENSG00000142208,1.6283781668,1.7347950208,1.725878404,1.9195972736,1.6428505604,2.0151716005,1.8993620994,1.663162533,1.8287530018,1.9980053094,1.9036559066,1.450804331,1.9565977793,1.6897429915,1.5663070286,1.4720351062,1.5676140737,1.5370788312,1.509593902,1.490777088,2.0040292033,1.6054814881,1.9406115054,1.9705643176,1.5089265926,1.942833749,1.272241818,1.8832929278,1.4855022569,1.444140724,1.8119399733,1.8212638632,1.90377953,2.0102664546,1.9366695427,1.7914942905,1.7709584112,2.0421412368,1.7685869612,1.7359730225,1.7821974554,1.8282003162,1.6637659678,1.8473681579,1.8138945446,1.930147187,1.4805619244,1.5345682768,1.514739986,1.9853362994,1.9376999491,1.9068263715,1.8766761991
ENSG00000135503,0.735803813,1.2013797137,1.5999425565,1.0254004049,1.2137044892,0.9083327395,1.1385705105,1.0510199579,1.1518378606,1.1850011167,0.926407039,0.7792962676,0.8816732065,1.5295190656,1.1269080254,0.7732900772,1.0223747539,0.4691257412,0.9022299825,0.7749942753,1.0490384297,1.2188513764,1.0835405372,1.1368111799,0.891370861,0.9325164352,0.6021754905,1.1333432914,0.6912045041,0.7970599799,0.8718348996,1.0776450559,1.1075318003,0.8161942402,1.1155343275,1.0920926465,1.0111067218,0.9646926169,-0.2283878036,1.1960118678,0.9276382983,1.2492175073,1.200372987,1.2786688764,1.2118663075,0.9550153588,0.8526413002,1.0261545162,0.9369136417,1.1607616551,1.1752361703,1.144702691,1.1974822763
ENSG00000097007,1.2426995711,1.3670296921,1.5182251213,1.8397629601,1.162719758,1.8362717025,1.6567936503,0.835209642,1.6679697615,1.5523348045,1.3181066617,1.0413915827,1.9124212028,1.4462657974,1.0975542474,1.1632100038,1.0364557032,1.0147633251,1.0825762235,1.1119209553,1.7959891951,1.0490922107,1.694733381,1.6357638901,1.0677314768,1.8316646981,0.2439027188,1.6379716422,1.3606309895,1.0059031599,1.7321343329,1.6054490501,1.6440432718,1.3523599522,1.7159519769,1.5824557937,1.4470622129,1.6886022119,1.2419707042,1.5566109134,1.7185084161,1.5874340192,1.4226414834,1.170177519,1.4246315697,1.6186030788,1.0804600816,0.9211216839,1.1465810396,1.8804106033,1.8313686311,1.7807188736,1.719849611
ENSG00000123374,0.9540138803,1.2773210788,1.4506560006,1.4252438882,0.4137789174,1.5167568561,1.3106129413,0.8845944275,1.2153421625,1.5602545143,1.350099767,0.3124288489,1.2521757715,1.4482533723,0.9175561575,0.4407675964,0.3390370276,0.7067163475,0.3579395778,0.7108675121,1.2864268293,0.3072204834,1.2964445874,1.3285522401,0.2531443077,1.365741445,0.5026916865,1.3768523391,0.5797335965,0.2386821102,1.8897037513,1.304831023,1.2751503917,1.0795817428,1.3029966385,1.2678087658,1.1087094034,1.3674487267,1.8025496071,0.9189461115,1.4656972607,1.3405725852,1.1169077666,0.5858262155,1.2178058981,1.237306501,0.3165681602,0.8054916823,0.401289137,1.38859451,1.4529513637,1.4943489953,1.3889523768
ENSG00000184343,1.2868371453,-0.1270308539,0.1363525147,0.8106679905,0.6676670407,0.389731517,0.1076398073,-0.6054460328,0.5527149328,-0.0282314741,-0.0716849728,0.386299841,1.0379372361,0.0915939971,-0.4147546703,0.5572276467,0.4265914197,1.1465505276,0.2851637826,1.664251023,0.9333948137,0.425562526,-0.2299922102,0.8298526977,0.2209378955,0.6798700955,-1.0117466172,0.0973031526,0.64745983,0.2516939079,-0.2978446709,-0.1930034723,0.7149279388,0.1231153435,-0.2987271175,0.3841653194,0.3132357108,1.1240454157,-0.5971565792,1.1702856164,0.2827691053,0.3730532155,0.1858781783,1.3103270063,0.6122539632,0.7766686132,0.4537880259,-0.4243970147,0.5917710044,0.5803557246,0.3646376317,0.5248457926,0.3043011882
ENSG00000132356,0.9849396956,1.1940283195,1.3071339431,1.479117841,0.7693469434,1.3521223105,1.6328760572,1.2462089022,1.3533625761,1.4724864439,1.2829259883,0.6701857309,1.3023361815,1.249810651,1.0055539133,0.8375536421,0.7329888146,0.8151823719,0.7765253796,1.0114639785,1.5744421573,0.8092574515,1.6614320564,1.3427349617,0.7656534245,1.3755833717,0.7392628524,1.5367102029,0.9806990256,0.6576891927,1.5624536283,1.3955162295,1.4919423408,1.218688654,1.4768317201,1.4319139628,1.2778278741,1.4759419929,1.3673404175,1.0655969496,1.2784480502,1.331369661,1.6628608663,1.1483580269,1.4360471721,1.4799093759,0.7150838521,1.0662850995,0.8843215017,1.5136624507,1.5110501405,1.4816756468,1.4116099289
ENSG00000211455,1.2223130929,1.147271868,1.1180253108,1.4432566657,0.7456103044,1.4841997794,1.4226151278,0.5320852944,1.2506821608,1.1837640623,0.8585889352,0.5680564402,1.4674730617,1.028619753,0.5674660697,0.6564529419,0.679743861,0.7964173224,0.6871945863,0.6565554654,1.8820965246,0.8044895528,0.8755036446,1.1811116597,0.6374918045,1.3984814271,0.592818104,1.2497006316,0.7344901071,0.5357617547,0.7433062709,1.3232888926,1.2170507379,0.8601495948,1.0601940749,1.1613963003,0.9308759338,1.9733348825,1.6953441078,0.9686582601,0.9030780139,1.3328916519,1.0525889616,0.930856153,1.1909895993,1.777796928,0.5607257036,0.6110171844,0.7075232829,1.2556596226,1.2106899132,1.2924662846,1.3413846517
ENSG00000140992,0.9112662359,1.1628143028,1.2341646407,1.3182065031,1.3344312805,1.2324787428,1.1513663715,0.835133829,1.2250973707,1.2841483353,1.2534867838,0.965242497,1.2187364904,1.1719290244,1.0072820418,0.9052061699,1.1937057947,0.7522978035,1.1390328769,1.0700260953,1.2196792729,1.2946817318,1.2060151783,1.2033333881,1.2289090752,1.2168783821,0.5218284404,1.1274239304,0.9541943487,1.0244980528,1.1988244411,1.0398526507,1.2317948181,1.2607989519,1.2505042643,1.3037602603,1.1038883685,1.1853950358,1.2701111058,1.2789402813,1.216428012,1.1771620284,1.3797556581,1.5900481428,1.1607081728,1.1660861179,1.0271716847,0.9222960651,1.0203466744,1.2595830958,1.2904177495,1.3286681232,1.2266771747
